author,amount,content,likes,authorProfilePicture
"@Henryesst","€2,49","Bludoskolioski has infinite AURA ","552","https://yt3.ggpht.com/TDCmfJL33NLogZAxt2DYW4g2Dwgihq4niUx7WapsJXyd9mCsVWIZzHvZLV4G6l2Z2Sp0lduZdg=s88-c-k-c0x00ffffff-no-rj"
"@The_Nerfdealer","$1,99","Nah bro really dressed up as the convention center","402","null"
"@SamuelGordon-z7z","$1,99","Remember me?","68","null"
"@Blinkxly1987","MX$50,00","I can feel the aura tru the screen 🫡 Now do it again","39","null"
"@katrinakelly1835","£10,00"," ","2,9 K","https://yt3.ggpht.com/ytc/AIdro_mlY6N7eCE8POoIc2BLp1d7KgjYAOWmvYYpyOo2cy0=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","He's not wrong tho","2,2 K","null"
"@Tsebraden","HK$10,00","lmao","439","null"
"@Johhnnyae","SAR 19,99","Thanks!","773","null"
"@priyadarshinisanyal7472","₹40,00","Thanks","73","null"
"@The_Nerfdealer","$1,99","Nah I saw him when I was awake","10 K","https://yt3.ggpht.com/6vhWdVg3ct-CA8KfVphIkOK32VFxZhUWmM3LlCBQYM0rmZJ580HsVcwo4D_YIGuwLmpKcnBxUNM=s88-c-k-c0x00ffffff-no-rj"
"@atouliemiario3155","₹40,00","Thanks!","818","null"
"@cookieking7448","฿179,00","","2,2 K","https://yt3.ggpht.com/ytc/AIdro_ldQNCJoqb2ACiWS5tI0fa5OHsUN-DbrYZMr0kII7wBc0yO3d9TcCxQjkS5SREDdYZ3kA=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","What do dads with neutral daughters do? ","3,9 K","null"
"@Rxndxl_BWU","€2,00","That's crazy","667","null"
"@Mewingrizzler2013","€2,49","Snoops IQ is infinite and I’m going to buy membership  Edit: Mom im FAMOUS","5,4 K","https://yt3.ggpht.com/qgDT3eWfuTAwHNVwtFzcyefDqguvJ1u5sqxXWddQTpSESVgGpCwjImhZ03d6qkpw-3OnWboP=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","The ayuwoki laughting harder","1,2 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00",""My wife got hit by a car i need medical threatment" "Lmao"","8,6 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@quinn.dagoat","$19,99","ah hell nah","70 K","https://yt3.ggpht.com/GSF0Pua20uzamxLhswsFk9KUtW6WWEeYFHInuqqFU4SkkDeIYDX4jEH91j4czxiHmkkIcw20_w=s88-c-k-c0x00ffffff-no-rj"
"@Johhnnyae","SAR 7,99","WILD  omg 10k","14 K","null"
"@Methodzs","$2,00","No one's ass expecting the hulk with no protection (Yep, even deeper into debt I go down the rabbit hole)","1,1 K","null"
"@Norway-Sewden","£2,00","I want 1 hulk and no protection  Edit: he smashes hard","557","https://yt3.ggpht.com/QQ1zLb69LKzp4SycOczLSyN-1gORezn0tmYsxH_fJvaRSH-RmfvQ1JmwY2r2hXuME82gU1ZFJKw=s88-c-k-c0x00ffffff-no-rj"
"@ATHISHKRISHNA944","₹100,00","Thanks brother ","3,5 K","null"
"@EladAsal","₪6,00","Gimme these 1000 spiders plz","285","null"
"@blakelynncoward","$2,00","Yooo ayooo","195","null"
"@naybtc","$1,99","bruh","335","null"
"@Norway-Sewden","£2,00","Il take the 1k to buy a ps7","304","null"
"@Lunar9271","$1,99","Thanks!","119","https://yt3.ggpht.com/klFmWf6TOHGwc_ttC6StZaFrE6QAosZD0r5E306lTjaPsTFG3k4QY50eR1yeYEHheUxGZZGhtA=s88-c-k-c0x00ffffff-no-rj"
"@Deerguy101","$1,99","Fr","753","null"
"@Emerald-d1k","$2,00","Real.","238","null"
"@Blinkxly1987","MX$50,00","Kid named teliotidibiks","4,1 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@infinity-0.youtube","$2,00","Parents gonna need to change her name   ","1,4 K","null"
"@pedrorubiotejero_aka_prt","€5,00","The RickRoll, for me, it's one of the best songs of the 1980's and my favourite song from the 1980's, and not a trolling thing, so… Don't ask if I was RickRolled here, I was enjoying the song instead","1,4 K","https://yt3.ggpht.com/3A4FWB3J-W5xjVaLZP4IP5p-ceILUDuSZ8jPgMD52jlMbhFsrOZ_oEBwZJdTTGTV2wI-XreKL4c=s88-c-k-c0x00ffffff-no-rj"
"@Johhnnyae","SAR 19,99","","270","null"
"@V1fister","€2,00","Im Ryomen Sukuna, but this is diabolical","9,9 K","https://yt3.ggpht.com/yQJnoMwI2n3AC6tIZfPsCPd1g8BGBHlAcbvex_lYc4JMaVoBgvxeW9VADN8VXHyOkzPJqN4RAg=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","What a violation!!!","4 K","null"
"@Freightliner_cascadia_driver","$200,00","Buddy rich","2 K","https://yt3.ggpht.com/cyK39mddT3vGL4DKbz_xtHQMX9maLeQF6NQ7RlFPRTMRe74az4nGv2s_NLZb59TH9g5bsaP-vw=s88-c-k-c0x00ffffff-no-rj"
"@V1fister","€2,00","They thought they would see the truth, but they didn't","285","null"
"@Blinkxly1987","MX$50,00","Be smart, not hard","211","null"
"@Blinkxly1987","MX$50,00","Bigger pls","2,6 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@V1fister","€2,00",""I reject humanity Jojo!*gets the painful death of whipping*"(i,m 12 btw, tysm for a pin:))","1,5 K","https://yt3.ggpht.com/yQJnoMwI2n3AC6tIZfPsCPd1g8BGBHlAcbvex_lYc4JMaVoBgvxeW9VADN8VXHyOkzPJqN4RAg=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$20,00","Dont let asian parents find this","753","null"
"@Freightliner_cascadia_driver","$200,00","Top g","1,2 K","https://yt3.ggpht.com/cyK39mddT3vGL4DKbz_xtHQMX9maLeQF6NQ7RlFPRTMRe74az4nGv2s_NLZb59TH9g5bsaP-vw=s88-c-k-c0x00ffffff-no-rj"
"@Failuregamez","$5,00","He is the rizzler","409","null"
"@thepurplebirdwunderwaffen","AU$2,00","You should start making memes about star vs the forces of evil because I said so","33","null"
"@Blinkxly1987","MX$50,00",""My favorite Word!"","3,6 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@infinity-0.youtube","$2,00","Stop calling him by his middle name we all know his rea name is Harvard Albert Einstein ","10 K","https://yt3.ggpht.com/XTBsVz0uWXvXiQ_hPJArWGfgBjhzv6MQskaUKzpXKduWFy8pD_QRAx3sHNyKRB1XQKknQO4Fsw=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$20,00","Yeah genious of course his name is Albert, the Einstein is missing","814","null"
"@Water-guy-236","$2,00","Thanks!","1,6 K","null"
"@Freightliner_cascadia_driver","$50,00","Hey thats not very nice  (jk its hilarious)","15 K","https://yt3.ggpht.com/cyK39mddT3vGL4DKbz_xtHQMX9maLeQF6NQ7RlFPRTMRe74az4nGv2s_NLZb59TH9g5bsaP-vw=s88-c-k-c0x00ffffff-no-rj"
"@Meowingatyourdoor","$5,00","Japans sweating rn at their language","12 K","null"
"@Blinkxly1987","MX$100,00","Why didnt we think of that in the first place","4 K","null"
"@George-f5l","€2,00","Take this men beacuse i love your videos with this guys down and by the  way i fill like that guys","1,1 K","null"
"@miliogarcia7123","$15,00","yoooooo","344","null"
"@2KE-587","$5,00","Ive seen this before and i aint falling for it! ️","116","null"
"@CoreyBailey-k1p","AU$2,99","Lil funny ","153","null"
"@Krizten11","MYR 6,00","I feel bad for the people that read the signboard wrong.because when i read it wrong im asking myself 'what is the purpose of life'","381","https://yt3.ggpht.com/ytc/AIdro_lry5t2S9CBkuXn7Kq1b9WOi6QeOlVNz7kq18pNWnkNZ_GIVopzjXPkqp_Y2rf2p4WTSA=s88-c-k-c0x00ffffff-no-rj"
"@YUSSEFNiveves","$9,99","I think star boy is a star..... Edit: 18K LIKES OMG THANK YOU SO MUCH IM CRYING","27 K","https://yt3.ggpht.com/ytc/AIdro_lk8UN6Sm2yXevei5XBZ0muyiJhvTS1zIloiZrEPT_2wh0ZN2PNXNrKYz2OHyMARUfXcg=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","Starboy98 seeing this video:  ","51 K","null"
"@IPlayGerman","$2,00","Trying to read chat   Comment section ️ Vault full of donations Trying to read chat","929","null"
"@S-MANplayz-j3g","$1,99","Backrooms intresting…","14 K","null"
"@RosaNunezbarreto","$2,00","Thanks!","427","null"
"@Tsebraden","HK$10,00","Lmfao","568","https://yt3.ggpht.com/EZeVTZOzXF7RruWVSiW1QTiYhMKa00wdnO4mjAas_w_MbEXY_Nn9XlOleGDlC9L66lWw0_HY=s88-c-k-c0x00ffffff-no-rj"
