author,amount,content,likes,authorProfilePicture
"@Cnencfjjrejfj","AU$2,99","Sigma sigma rizzler","1,1 K","null"
"@Watchercuzwhynot","$9,99","Idk what to put (don’t say you gave him 10$ I gave him 9.99)","4,6 K","https://yt3.ggpht.com/4PaVbJzgxZbw1wSCCgQsLB8hwOmzklO9_Czb6Ky5DLS8ZWbyt1It2HqYsrx6yT63jkwAmCH3tGc=s88-c-k-c0x00ffffff-no-rj"
"@Cris_is_chill","$1,99","Ahh democracy","704","null"
"@itachics69420","SAR 7,99","Imagine this coming true","490","null"
"@Mama_a_gurl_behind_you7","$4,99","Nah bro that’s crazy","700","null"
"@franklinmandey","IDR 35.000,00","Well Sausage Got Kicked Out Edit: OMG HOW SO MANY REPLIES AND LIKES","406","https://yt3.ggpht.com/hw8D0QXCwOgkOV4m320VJ2deqRSLiZbph4TtYYxyqJ4yKQFNIr803yefa-GW0fOiqIed1vG6OQ=s88-c-k-c0x00ffffff-no-rj"
"@snoozymac2377","$2,00","No donation? Let me help with that.","288","null"
"@therealdater69","₹200,00","Ahah haaha ahaha Hahhaha Ahah","4,7 K","https://yt3.ggpht.com/onGfcR8pHgcoo0bU95qk2Rlya46alSpFzDYbUkx7YEHk-R-lxtGFK6JV1UGveBJmWt6Zv_tYSQ=s88-c-k-c0x00ffffff-no-rj"
"@TherealAbrahamLincolne","$2,00","Dying isn't funny guys","615","null"
"@SamBeeze","CA$2,79","Thanks! 3 MIN!!!! AGO","237","null"
"@AndreTheDragon","CHF 5,00","Rest in pieces!","892","https://yt3.ggpht.com/UnX8j5PJcNVh7OGo-5--SUavYW_AwsP5XMraxKPQorSVXvYuB2zIbQzcUe3AtEulE6i6G2uZuU8=s88-c-k-c0x00ffffff-no-rj"
"@Dawg_yochill","$5,00","Makes me go back to the lore ahhh such good memories, anyways this is my last 5 buckuroos sadly anyways hi! Bye!","378","https://yt3.ggpht.com/d94PW3Jv7AdPy_TrF_kYVZlhLpCUmo6C5uho3HUbBqIgL3F9_BrLlSloU6IFPFQpO8kquxT-Oxo=s88-c-k-c0x00ffffff-no-rj"
"@TherealAbrahamLincolne","$2,00","","135","null"
"@enriquecarchi6423","$9,99","Femboys short?","1,2 K","https://yt3.ggpht.com/plyTFq_CvyPFAuhJ9OpAxtQB9kjX0M82MUpb0NMtaTOSIiXrwxTo8Ct-2KwVJmLjoPs78m8mjg=s88-c-k-c0x00ffffff-no-rj"
"@herediajr1","$2,00","I love your videos and your emojis Zdak:D","395","null"
"@TrishaMorton-yf3ks","AU$10,00","Thanks","240","null"
"@Dawg_yochill","$5,00","I turn 16 today tee-hee","247","null"
"@Blinkxly1987","MX$20,00","","171","null"
"@RlxMcLive","₹40,00","Diddy get freakout when he see this️ And zdak thanks when i join your membership my luck get 5x better thanks broo","2,1 K","https://yt3.ggpht.com/TQoJU5EIMFf3aaykYwBf3qqLkuiHa21SJpM3irOLbQHA319nZkDEFtTS2XzQFg1lgA42kyRPCg=s88-c-k-c0x00ffffff-no-rj"
"@Shotpop13","CA$5,00","Pov his name 'Alan4/=÷⁸'","6,7 K","https://yt3.ggpht.com/b93AqLUi_HWFcJbIp7ccKc4ibSoMG2wn1SoPv-c-T9j_eGN-M70YRlPxZv1xE1_5TyMM0KszAA=s88-c-k-c0x00ffffff-no-rj"
"@TheNightmarionneKing","$1,99","Bros name is 1, 12, 1, 14  (The number is the letter placement of the alphabet) Edit: 7 DAYS AND ALREADY 1.7K LIKES? THANKS GUYS, YALL ARE AWESOME AF-","1,9 K","null"
"@Dog_Lover3-j9r","$1,99","Yoo I love the vids keep up the good content","266","null"
"@Catsontop41","$1,99","I wonder if my daddy will respond?zdak?","310","null"
"@idunno-l6c","$2,00","If yu pin this  Yu r cool  nuh uh (yw)","468","https://yt3.ggpht.com/lNE7heCkFWWXwFZfqDO5h7Dcpsj99Bqo2qWLtOrFUbQ4XntQkQmpmmVWqWHHk8LQxtQRxzCA=s88-c-k-c0x00ffffff-no-rj"
"@cat-010-dik","HK$50,00","Pin me","17 K","https://yt3.ggpht.com/fVMaboGvq2ulMDYzt7aUcvfFElMX_9rzIMmAVuXFBeCeUOBemve0kMEBmpATd-0gz3ZcgxlUweE=s88-c-k-c0x00ffffff-no-rj"
"@SorryMushroom","PLN 10,00","I will cry.  Edit1.please don't like I don't want to be moved","6,1 K","null"
"@dixie2112","$2,00",""Mines tomorrow"","1,3 K","null"
"@LiamLou-m9k","$1,99","Thanks!","2,8 K","null"
"@mrshvin5973","IDR 20.000,00","Yo zdak thanks for posting meme in youtube, your video kept me laughing, sad (kinda), and sometimes other emotion.   I know my donation isn't enough and i know its a fart not a huge money but yeah its ok , i hope this is worth for you. Again, Thanks!   Edit : btw this is my first donation.","757","null"
"@KetchupSandwich","$5,00","I'm poopin rn","10 K","https://yt3.ggpht.com/ytc/AIdro_lx2-p6uICkI9OAVJzFdJi169-pmqpB4sUABtiQWxNo-w=s88-c-k-c0x00ffffff-no-rj"
"@Maruzukii","CA$2,79","“Never trust a friend who gives you money”","24 K","null"
"@lautaroageno","ARS 20,00","Never trust someone who gives you the equivalent of 0,019 dollars","842","null"
"@codeteamYT","€2,00","You are prob rich from these donations. still donating tho cuz good creator","3,5 K","https://yt3.ggpht.com/HT628aDavc5P2HVTxL4IAwN2DCHcc_pyffxTAI2uwY7o6GuKpVkDqvqXtwSJpGu5sYkh5Y7FSQ=s88-c-k-c0x00ffffff-no-rj"
"@Jakeplayzgamesoffcial","$1,99","Nokia Really is Superman.","4,1 K","https://yt3.ggpht.com/ytc/AIdro_nbnIwyYsF5KGzS2pWd-Bbv2zgtWKXIXYtKtnh9Q669BzQAGM9gxLELfbqgp3aEheu7BQ=s88-c-k-c0x00ffffff-no-rj"
"@BanderToon414","$1,99","R.I.P Nokia   Thank you for your service 🫡","2,9 K","null"
"@theunknownadmiral314","$5,00","Make femboy short, NOW!","142","null"
"@RlxMcLive","₹40,00","Hey Zdak pls tell me how to get gf on Roblox pls tell me pls","229","null"
"@EdwardE-z3s","$5,00","","4,6 K","https://yt3.ggpht.com/ytc/AIdro_nj7PAq489rI6NHK471MkFocojz6YJXKcDqEE2K1NQlj-I_sNgBPBPSsnyomX85OyBptw=s88-c-k-c0x00ffffff-no-rj"
"@ZARAZ-ANIMAL-COMPANY","$1,99","AI GOT CAUGHT IN 4k","640","null"
"@Darsy-jas","AED 17,99","Stop describing me it’s unfair ","1,4 K","null"
"@enriquecarchi6423","$19,99","Make the short about femboys now in and yes in teaming with the unknown admiral","2,9 K","https://yt3.ggpht.com/plyTFq_CvyPFAuhJ9OpAxtQB9kjX0M82MUpb0NMtaTOSIiXrwxTo8Ct-2KwVJmLjoPs78m8mjg=s88-c-k-c0x00ffffff-no-rj"
"@akulbaranwal6811","₹40,00","The teach gonna get 200 pumped after that ","3,1 K","null"
"@theunknownadmiral314","$10,00","Make short about femboys NOW!","5,3 K","null"
"@MK11-god","₹40,00","YO!! THATS REPORT CARD!!!!!! HOW DID IT COME ON YT!??!!DONT SHOW MY MOM PLEASE    EDIT:- Mom I'm famous thanks to you credit card!","473","null"
"@dudolol3530","£5,00","Hi Edit:thx so much for 232 likes","230","null"
"@TheNightmarionneKing","$1,99","Lil bro wanted the whole class to say “I-C-U-P”","687","https://yt3.ggpht.com/XKkZUMfTDHF6AlHz16G2BqstnXrXTUtz8OpgvXZwCq43kVoRX_a3gaTtHlchvyk7deRDjE7LuQ=s88-c-k-c0x00ffffff-no-rj"
"@lab81bke","₹40,00","lil bro got recorded","538","null"
"@Jakeplayzgamesoffcial","$1,99","Bro’s being famous for doing the right thing yet the wrong one. ","239","null"
"@imveryfunny6933","$1,99","no more ding dong ","302","null"
"@FAzXrl","AED 7,29","This is for the pinned guy ","2,2 K","https://yt3.ggpht.com/LGOvYpdXOIKAr7AwbyF7B0LHUBA-MTdb6CjxfW-IIXMfVImORDq-DT35w4J7VhNJEGc4JJzb=s88-c-k-c0x00ffffff-no-rj"
"@TherealAbrahamLincolne","$2,00","Aight so, some people are I guess mad at me that i donate to zdak but i have money its my own money I can do what i want with it. Also dont go after zdak he does care for his supporters so if your one of those people... Get your funds up respectfully ","548","null"
"@Nuse223","€75,00","PIN ME","1,3 K","https://yt3.ggpht.com/vg9R-6vfXWAPfzD-ZAymv3rjG1i3T_gxywzc3hYbkcr_v5n0rPbYH42Y2_5st30CQjUstfbtBA=s88-c-k-c0x00ffffff-no-rj"
"@DerionBrinkley","$2,00",""Coco is an angel he won't bite"","459","null"
"@AndreTheDragon","CHF 5,00","Imagine Zdak turning one of my most viewed shorts into an actual meme","264","null"
"@BenjaminBrodie1234","$1,99","That’s not a dog that a fricken creature from Jurassic park","662","null"
"@cat-010-dik","HK$125,00","","122","null"
"@ViinaPete69","€2,00","My name is Josh and im very angry right now  Edit: tysm for all the likes️","6,4 K","https://yt3.ggpht.com/saf22nmlsN7E-pOjwtLXGjaz0VDyr0YUkzGl6HkLlIp5izLTRibJT8eQ61JDf4ju4_Z-Ev1CJQ=s88-c-k-c0x00ffffff-no-rj"
"@maxourel","$1,99","Zdak i want my family back please","4,9 K","null"
"@NeodymBattleship","MYR 6,00","I miss clicking ","635","null"
"@NeodymBattleship","MYR 6,00","Im on dept now","336","null"
"@TherealAbrahamLincolne","$2,00","Hmmm im back! Video on my return?","303","null"
"@akemikagomekagome","$2,00","10","570","https://yt3.ggpht.com/qAa_Tuuk_derTCGzIIRa7ml0Z8NrjfEFjwI2eYwF3iXXm9D7WDnDtLBpo6L0868Uqd0qc1-t=s88-c-k-c0x00ffffff-no-rj"
"@nereidagutierrez8766","$2,00","Thanks!","186","null"
"@sdgsifter","CZK 20,00","if you think and count it, its actually  7 (enjoy a few czech bucks yo) ","1,7 K","null"
"@michaelvymazal","CZK 20,00","Díky!","133","null"
"@Huyvn1366","₫20.000","Tôi mong rằng số tiền này sẽ góp phần giúp bạn có mua quà cho vợ con hoặc người yêu của bạn trong dịp 8/3.","282","null"
"@Troopers03","$1,99","Since nobody donated I volunteer","540","https://yt3.ggpht.com/RYym1PVGYNJdxsgD4UeS9VA1H14aRzxPdZfQeM6RLv1ayZWQKeNVRD78ns606k9g-cS-rFH7KKM=s88-c-k-c0x00ffffff-no-rj"
"@Phiwegamingcraft","ZAR 14,00"," from south Africa","112","null"
"@Meowie66","$2,00","Plot twist he went into the toilet paper roll instead (donated for top comment)","510","https://yt3.ggpht.com/5bfp_50HAK1E2QRS_9qWCkg9DXzDMaVyyf1ohINaTHsBv3K7AaKQ2eLhiMz_mTmafYn-luLA=s88-c-k-c0x00ffffff-no-rj"
"@TeamSkyMemberCorse","CA$2,79","Cave divers when they see a crack on a sidewalk  (Edit: Thx for 1k likes )","1,1 K","null"
"@Teesylod","£1,99","Thanks","279","null"
"@연이-d5v","₩2.000","Here claim your snacks    I hope you enjoy :)  Oh this is my first donate comment lol 1400₩=1$  +omg what happened during sleep lol thank you for pin + heart + comment","118","null"
"@LorenzoOrosco-zd6qq","$4,99","Thanks!","10 K","https://yt3.ggpht.com/mUJ1JzBRqabgegMOuWup9C4udWJ-wN9GeQZnL6EzvGpx3MRO3V_UM7g-Q0D7pgTQOZPRyQJJ=s88-c-k-c0x00ffffff-no-rj"
"@sibbe7074","€2,00","Rip Skype , anyways enjoy the 2 euro's ","4,8 K","null"
"@SureshKumarV-d7c","₹40,00"," RIP CHAIN HERE","2,2 K","null"
"@CameronFox08","£2,00","NOOOOOOOOOOOOO!","1,8 K","null"
"@herani23","$1,99","I used Skype since I was 4 because I would talk to my Quran teacher through there and also learn from there, I’ve finished the Quran twice now and I know Arabic through Skype it’s been such a big part of my life and how learned Arabic and I’m very sad to see it go. Thank you skype","430","null"
"@avadohtarkurubas3695","₺20,00","AFTER DISCORD BAN IN TURKEY?? Ain't no way (im turkish)","130","https://yt3.ggpht.com/swClUrqMf86OKqhoqlxfSdG9F5eBprblTPnylrpJ9-61dBFqaap6neo-V6RZVqicM7qgrE_-=s88-c-k-c0x00ffffff-no-rj"
"@Bloxxer82","BGN 4,49","Dang bro opera ts so tuff(coming from tiktok️)","449","https://yt3.ggpht.com/A9r9RlXrgP5zUSbiUIyNZJ4hN7GTP_lyl_ry5mRdGeNcIcsCYqGxx5tQq0m6ETd0PbuJrRVcVXU=s88-c-k-c0x00ffffff-no-rj"
"@BunnyCoelhoX","R$2,00","Ok ok, you can take my 2 Reais ","666","null"
"@ibraisarsytsbbrother","IDR 159.000,00","define aura","16 K","https://yt3.ggpht.com/LuSu9RVI0lTH32cB_-lu2kAYKammdvord2t4Nykbm7adTtZEO07gGa98cOXWi1bS4xrMf22zKg=s88-c-k-c0x00ffffff-no-rj"
"@Tsebraden","HK$10,00","i am me.","2,7 K","null"
"@StenzinKKK","R$2,00","only Brazilian.","2,1 K","null"
"@TherealAbrahamLincolne","$2,00","Im back my glorious king js make sure you vote for me 🫦🫦","318","null"
"@australiaball-q8z","AU$7,99","Can this be the first donation pinned by Zdak with no heart and no reply from him  Edit: stop it with ‘here before Zdak’ please","2,9 K","https://yt3.ggpht.com/vNiErx7KNUphSkFMZ_6-d2wgGrzuaATbtIgVf79ML5LaVKyyJomiol1iebJGclZ0dj4d55IcjQ=s88-c-k-c0x00ffffff-no-rj"
"@subhamsahu6172","₹200,00","Red bull? Nah, that's green bull, green bull gives you money  ","1,7 K","null"
"@GaminLonewolfSR","SEK 27,00","Don’t spend it all at ones trying to get wings","623","null"
"@criticalvrgt","$2,00","that meme's still massive.","365","null"
"@ibraisarsytsbbrother","IDR 79.000,00","bro bouta get apple vison pro","394","null"
"@KOTTRAIYASG","₹40,00","Thanks","393","null"
"@tapwatermelon7911","£1,99","Stalemate️","819","https://yt3.ggpht.com/OLyQfKUsh_DEKiH98fVo2qjzxWCjc1PCLt1lMt-vyhJY5xhRghLbMAHkCdaLAjm0RnTDlUUR3g=s88-c-k-c0x00ffffff-no-rj"
"@joshlundy1669","$2,00","Hey Siri play free falling ahh moment","2,9 K","null"
"@Herr_Strauss1","$9,99","Blud really knew what he was gonna ask ","539","https://yt3.ggpht.com/px2dl2Rup65LGFCWzkBzGIIj7MslHuQ5LOCt7mxPRuE5BMeQCCK0m3LpvjCelULw-vg2A5V0yw=s88-c-k-c0x00ffffff-no-rj"
"@wolqx1","€2,00","some more european bucks?","286","null"
"@criticalvrgt","$2,00","bro doesnt know abt low taper fade","242","null"
"@RMCRealms","$5,00","Incel Core i9 is crazy","450","https://yt3.ggpht.com/2ocIJAZgdANIrplafQvdeIOTkb7wjX99N5SJLCgBjaLUCgfCmWQKL1SwDd7DQN6z8S2yGeYBgw=s88-c-k-c0x00ffffff-no-rj"
"@Rita-k5l5n","₹40,00","Do you remember me","129","null"
"@isaackidwell16","$4,99","Prosthetic leg has entered the chat","5,2 K","https://yt3.ggpht.com/ytc/AIdro_lMF6e1YxbR__1TBCarFg7dhL9EUUBY0MQMymveJXwkDlWA7mNFLwm4F6AggfNTzLS9Sg=s88-c-k-c0x00ffffff-no-rj"
"@subhamsahu6172","₹200,00","Be rich in 0 steps...  Evade taxes","3 K","null"
"@Rita-k5l5n","₹40,00","Lol investment got crazy  Btw its my second donation on this channel","704","null"
"@avrayushranjan","₹40,00","I need money for new smartphone but here you go bro","630","null"
"@Chill_spawn","SAR 7,99","The comment down me I’m prob his friend:)","327","null"
"@subhamsahu6172","₹200,00","I'd chose the blue option "vote"","13 K","https://yt3.ggpht.com/GmpYR30I2Focr2ofVaZftw629OWU2QY3IGpsuDVZsN4IRwhfaeTgQHM_Jz9urHuhG1KFbDah=s88-c-k-c0x00ffffff-no-rj"
"@jorgemata6562","$1,99","24 hours wouldn’t  be enough ","2,7 K","null"
"@Rita-k5l5n","₹100,00","Hardest test ever","1,4 K","null"
"@Cak3Nruh","$2,00","Bro i'm not a bot","1,4 K","null"
"@macxabandoned","$1,99","Me after i see the word “Indo-European” and it changes into a plus-minus sign after squinting my eyes:","1 K","null"
"@LilRollingHead","$1,99","cool.","375","null"
"@Thenerdthatshouldnotexist","$9,99","No one will no how I got this much likes ","7,3 K","https://yt3.ggpht.com/XiRRX28wFPqrczflmxOFaofzvUmbaYyMOwAfeDi30TggfxCaoW2jRVJRhMdLEv4A_WFodXAJ_w=s88-c-k-c0x00ffffff-no-rj"
"@subhamsahu6172","₹200,00","Throughout JavaScript and coding, I alone am the coded one","7,2 K","https://yt3.ggpht.com/GmpYR30I2Focr2ofVaZftw629OWU2QY3IGpsuDVZsN4IRwhfaeTgQHM_Jz9urHuhG1KFbDah=s88-c-k-c0x00ffffff-no-rj"
"@JordanPlays-b9h","$2,00","I say nah, id win when i race my friends Edit: i subbed","103","null"
"@princecodx","₹200,00","Wait until Grok enters the chat ","2,2 K","null"
"@BananaButFresh","$5,00","Yo bro! here, have some money and buy yourself a sandwich","483","null"
"@Tsebraden","HK$75,00","this is why borgor king is on top","1,1 K","https://yt3.ggpht.com/EZeVTZOzXF7RruWVSiW1QTiYhMKa00wdnO4mjAas_w_MbEXY_Nn9XlOleGDlC9L66lWw0_HY=s88-c-k-c0x00ffffff-no-rj"
"@BanderToon414","$1,99","Don’t act like a Clown   Act like a King ","1,1 K","https://yt3.ggpht.com/VvY4Mr6NJ95ELutvPdGJ2mIWRJgXdUt75ywbrjpxP9ES-zxRTrFf111mXJnbWIJHC0YeBNzT=s88-c-k-c0x00ffffff-no-rj"
"@Jakeplayzgamesoffcial","$4,99","Casually Roasting McDonalds be like…","430","null"
"@Jakeplayzgamesoffcial","$1,99","Zdak is the real king. ","228","null"
"@akhandpratap6941","₹40,00","Call me a legend,bro ","171","null"
"@TherealAbrahamLincolne","$2,00","I am better screw elon","370","https://yt3.ggpht.com/HzC8lNhCwHE5feQ-hdo7MuJ_elyLYL_t93CmJlZTfcbf5si7IdSGFMJ1arMEfSRrg08BMA8B=s88-c-k-c0x00ffffff-no-rj"
"@userappolguy","PHP 50,00","190 iq = 20 iq ahh consenquences","175","https://yt3.ggpht.com/zfFwEyw2zO3IUaj-G5sZBeenhD_sN0twk6UrZcQzkwF7EuBR1KqCGCrPzmnUku5qiWaP7iouyoA=s88-c-k-c0x00ffffff-no-rj"
"@alshafikhan8792","SGD 2,00","Bros brain is better then elon musk","291","null"
"@Humdoo-Gaming","CA$2,79","Bro is the next Einstein  (also it’s my last dono on the channel for now)","240","null"
"@RichardTheCatCuzWhyNot","$2,00","Reply pls","46","null"
"@Tomato_tomato_tomato_tomato","€2,00","Have my useless euro's, funny man.","6,2 K","https://yt3.ggpht.com/kY-l3ii-Z0-Z5XlOVbyQW8q69sYRCpmxaZoNt7ysi6JWJYsthvaZTgYVZXA36ZM6mQ2lUR-f_Q=s88-c-k-c0x00ffffff-no-rj"
"@Humdoo-Gaming","CA$2,79","Bro must have felt evil after that ","2,1 K","null"
"@userappolguy","PHP 50,00","I felt that i was thinking abt 5 minutes craft type shit ","452","null"
"@SatoruJevin","$1,99","Bro is afraid Edit 1: OMG I'VE NEVER HAD 3.1K LIKES BEFORE TYSM YALL!!","3,2 K","null"
"@Huyvn1366","₫20.000","Cảm ơn bạn lần trước đã phản hồi tôi bằng tiếng Việt. " Quà từ Bộ trưởng Việt Nam "","380","null"
"@brisheenacarter5433","$2,00","Thanks!","749","https://yt3.ggpht.com/ytc/AIdro_mN1c1vzIft5ypy_rAQYCalK0QVpe02f37xaOHq7l5Pqc43B_9OZn0V4qqeYf-bVp7yIQ=s88-c-k-c0x00ffffff-no-rj"
"@Humdoo-Gaming","CA$2,79","Don’t spend it all in one place ","10 K","https://yt3.ggpht.com/jxbZDFOuN3Yz0b5ugT1UNEdTWotOs9nHNcx-wR2bEoXkOAXdqHU6KlrPP_-mK7EF80lqdJ_agQ=s88-c-k-c0x00ffffff-no-rj"
"@subhamsahu6172","₹200,00","Here's my life saving don't spend it at once","12 K","null"
"@davidgallegos2732","COP 10.000,00","There you go, 10k baby get yourself something nice","8,5 K","null"
"@cxrlluvskanye","$1,99","Get yourself something nice, Zdak ","4 K","null"
"@elwey971","CLP 1.000","MONEY MONEY MONEY MONEY","163","null"
"@Tsebraden","HK$10,00","Don't worry, I'm Mr least plus a few buckos.","1,7 K","null"
"@sajjanmachaiah3098","₹40,00","Dont spend it all in one go","2,2 K","null"
"@as7river","MX$20,00","Mr. Least, Mexican Edition.","98","null"
"@Coldeditz-23","NZ$2,00","Heres some more bucks","1,1 K","null"
"@Coldeditz-23","NZ$2,00","Thanks!","2,4 K","null"
"@Eltíodetios","CA$2,79",""Money is a tool; it can build dreams or create barriers, depending on how we choose to use it." By El tío Francis ","1,2 K","null"
"@daik.8626","ARS 50,00","Don't go too crazy with it ","921","null"
"@thebrilliantjoseph3761","IDR 20.000,00","Dont spend all in one place(i spent all of my life saving of 20 grand)","1,6 K","null"
"@Ripkamora","$15,00","I feel like mr least now but i read 1.05$ as 15$ so here buy something nice","993","null"
"@abdelrahmanelkadi9343","EGP 20,00","Don't spend it all at once","1 K","https://yt3.ggpht.com/ytc/AIdro_mieCXbEfNmEn4UvZk7OjuqOUqI8On8wCzJ2DLF05OmgIw=s88-c-k-c0x00ffffff-no-rj"
"@NylonMusk나일론머스크","₩15.000","Well.... I can't give you 105$ but I can give you 15,000₩. Get something nice.","187","https://yt3.ggpht.com/UTuQmMuZXfDyR7qaB4E-b7aJReUUDsFjvBoSEnc17B_L_Vf9Keq1lmyTiwnMk8v4oCpDZ0dz=s88-c-k-c0x00ffffff-no-rj"
"@TherealAbrahamLincolne","$2,00","Get yourself something nice bbg️ (ill be there in 3 oil up and dont use the dragon fruit without me)","899","null"
"@Cr353n7","HK$10,00","Here comes the money","105","null"
"@AreYouOk-n","$1,99","Bro how does my grandma only have $1.99 in her savings ","963","null"
"@nenengizadpanahi6771","IDR 20.000,00","Im from indonesia","567","null"
"@GENINReal","PEN 2,00","The hungry one in MrBeast thinks or what was it like?","470","null"
"@chaosxgaming4929","MYR 6,00","What something nice can be bought with 1.05 dollars?  Fyi,kurumi is my wife (Don't mind this)","384","null"
"@turcosz0660","₺20,00","Teşekkürler. Do you love Turkey? This 20 Turkish Liras are for you.","48","null"
"@ostbroks","ARS 250,00","","199","null"
"@DominicKiiria","£5,00","BOMBOCLAT DAWG","6,4 K","https://yt3.ggpht.com/p4lKtMZvYcBIgn4rFK9KQ64ETu7VZukVRyES7EGl5J4nY9RNNyEiahebxWA2wW9YonQ15ZF51w=s88-c-k-c0x00ffffff-no-rj"
"@Miketriss333","CA$2,79","rest in spaghetti","2,1 K","null"
"@Blinkxly1987","MX$20,00","","391","null"
"@Wedits-i5j","₹40,00","I dare zdak reply with a sus emoji. And i cant understand pls help me ༼⁠ᕗ⁠ຈ⁠ل͜⁠ຈ⁠༽⁠ᕗ(⁠ ͡⁠°⁠ᴥ⁠ ͡⁠°⁠ ⁠ʋ⁠)(⁠ ͡⁠°⁠ᴥ⁠ ͡⁠°⁠ ⁠ʋ⁠). Icant get it off my head","1,8 K","https://yt3.ggpht.com/wRrdMr1syvkosf2__blU6MY17KwBc7CKdm4MdTX2KWGU4JWwH_2Fl-X6o8pRgsp2FudYYOEVXmQ=s88-c-k-c0x00ffffff-no-rj"
"@Chicken-d8x","$4,99","You have amazing content never give up you should start two channels.","681","https://yt3.ggpht.com/bJQZtVmFArpwfkiVCKu6bHPXBOIpkCatgLejogtAIra2bq95pN0rn768V3GL5Xhl7PNlnEr0JfM=s88-c-k-c0x00ffffff-no-rj"
"@karelpochman7477","CZK 20,00","Its a sky No its a bird No its my dirty mind coming back","1,1 K","null"
"@Humdoo-Gaming","CA$2,79","I was gonna buy Snapchat plus but the sale ended so here you go.","806","null"
"@AbdullahAbdulkareem-t3v","$1,99","I can see two windows at the bottom so I think it’s a male ","709","null"
"@ZARAZ-ANIMAL-COMPANY","$1,99","GYATTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT","80","null"
"@aguythatsunguned","€2,00","Have some money Edit: okay can the guys arguing over the guy who has the HINDU swastika as his pfp shut up?","520","null"
"@Hallman64","$2,00","Thanks!","276","https://yt3.ggpht.com/UD8xyxT3a6Zu3TIr9lv_HT7EyiycN3wr9aKK7Cd1-OFDA--lyh1yOfOf6kvGVylk7pkaaNEf=s88-c-k-c0x00ffffff-no-rj"
"@Maruzukii","CA$6,99","Bro just casually used full counter","4,1 K","https://yt3.ggpht.com/ixJKHKV1mCxSxOFVW2vhsrm2GT-GykryKyOepHqjwyDv-zASTRtQDeZtpsBoYlXl9baO5_6L0Wk=s88-c-k-c0x00ffffff-no-rj"
"@Gavinho4567","MX$20,00","Bro was NOT in the mood for jokes ","7,4 K","null"
"@AnasRafee-h1u","₹40,00","Bro use an unique emoji you have never used before 5 of them ","502","null"
"@LukasHabtoch-v8i","€10,00","I am almost 21, this is my own money. Not everyone giving money to people is a little kid. Screw everyone who keeps arguing about such.","492","https://yt3.ggpht.com/ytc/AIdro_leFFe8KMeL6dviJz4lflNtiouNm3lwAszN8UUFbfSwdMLOPurEgsecMSCzM5JDe-AUAA=s88-c-k-c0x00ffffff-no-rj"
"@BonnieisSTILLawierdo","AED 10,00","Well hurry up.","108","null"
"@sandrynyathi-y8o","ZAR 14,00","bro thinks his him(pin my comment pls)","11","https://yt3.ggpht.com/WVPGPHF73c5VSucEHjfZQQt1FJV9Oy_-O39J9V1xs9njHqPGwnA_HnuiTM30JeJsHSbDvFdI=s88-c-k-c0x00ffffff-no-rj"
"@billdozer591","$15,00","Let's see if we can't get a dono chain started, come on guys!","4 K","https://yt3.ggpht.com/-GaqbPk9ezbusVfD3t3kjtweN59zm4mu133-JT1uwrUwL-Fx8wRejXqlgiZm8c1B1xihsv1sF9g=s88-c-k-c0x00ffffff-no-rj"
"@zone4625","AED 10,00","That kid just avoided one of the most feared brutal thing in history, my guy needs to learn incognito ASAP! ","2,3 K","null"
"@Labbrat","$5,00","What is that song called?","5,2 K","null"
"@im-a-chicken-6.9","CA$2,00","Just helping little bro out  It's me on YouTube  Can't believe I found this short but I did no IAM not the son just helping out YouTube would not let me put 69 so it's 6.9 it's me ","885","https://yt3.ggpht.com/rGCmXIeHzD2aGUxf_GNyALxmuE7LxVU02e12lu2G5qF_6gl2Jxsq2dbSpLqBRUlJ6ktWzoZBIQ=s88-c-k-c0x00ffffff-no-rj"
"@RyanPeterson-wz1ou","$9,99","You earn my respect. 🫡  Edit 1: I wasn’t expecting for this to happen. I just wanted to help out others. I guess kindness does go a long way after all. However I am extremely grateful for the amount of likes and comments. Thank you everyone.","13 K","null"
"@Superman-cavill","₹40,00","Bro is the historysaviour  Btw everyone is gansta until you start using incognito abilities         I am broke ️️️","238","null"
"@ShivayOriginal","₹40,00","Sick video man thats all i have! Keep going ","2,9 K","https://yt3.ggpht.com/6m-DxsbJDTGf9p64x0byxVwNxJkxaOpPlf02s3PUDu3qvs2flXeM-x5Nxc3uuktDRlPC4Wlc=s88-c-k-c0x00ffffff-no-rj"
"@LukasHabtoch-v8i","€10,00","Can this be the first pinned donation with a heart but without a comment by zdak?","3,6 K","https://yt3.ggpht.com/ytc/AIdro_leFFe8KMeL6dviJz4lflNtiouNm3lwAszN8UUFbfSwdMLOPurEgsecMSCzM5JDe-AUAA=s88-c-k-c0x00ffffff-no-rj"
"@V1o123s","CA$6,99","Even Diddy is jealous of shoplifters ","2,9 K","null"
"@zone4625","AED 10,00","Free Diddy lessons in prison!","1 K","null"
"@xw0323","CA$13,99","lemme spoil you bbg","14 K","https://yt3.ggpht.com/Y0Ow3R2dsV2a3Oi7cf5EEPU3RuHaBhPrYCKNiw38IZACQIzFuZ_51fsFMRPnQWJsCbZRG5FK=s88-c-k-c0x00ffffff-no-rj"
"@Filter_facts","$4,99","That’s why they only like you when your wearing gold","12 K","null"
